Open,High,Low,Close,Volume,Dividends,Stock Splits
6.469952784836605,6.502388877311022,6.4381229895948975,6.487534999847412,493729600,0.0,0.0
6.505417091412973,6.535427977994681,6.46449245607301,6.498747825622559,601904800,0.0,0.0
6.498750297105447,6.524517519993776,6.388709798140541,6.395379066467285,552160000,0.0,0.0
6.419024345552393,6.426603060151402,6.337175846834152,6.383556365966797,477131200,0.0,0.0
6.375068083041617,6.426602528576692,6.337479280690732,6.425995826721191,447610800,0.0,0.0
6.4508534808766544,6.45691645193882,6.318987098176308,6.369308948516846,462229600,0.0,0.0
6.341418980849413,6.359002001955659,6.2574492586882045,6.2968573570251465,594459600,0.0,0.0
6.301405349114029,6.394165974048187,6.18712077197491,6.385677814483643,605892000,0.0,0.0
6.369308902793951,6.379918697338857,6.3362661154800675,6.348694801330566,432894000,0.0,0.0
6.39416485076789,6.414475800443541,6.240775351080217,6.242594242095947,594067600,0.0,0.0
6.315349976556016,6.52330504890197,6.282307995021925,6.5187578201293945,730007600,0.0,0.0
6.514816339290347,6.534217442346615,6.350817016096506,6.418417930603027,612152800,0.0,0.0
6.429027528657503,6.466313586094635,6.281397017970402,6.307466983795166,608154400,0.0,0.0
6.268363644248539,6.290189534567069,5.97674156365295,5.994626522064209,881767600,0.0,0.0
6.138921225380659,6.205308738287356,6.0685923763401455,6.15589714050293,1065699600,0.0,0.0
6.243201612757636,6.478439629656914,6.141042978231626,6.242898464202881,1867110000,0.0,0.0
6.270486222179315,6.383557836886506,6.048586264442602,6.30171012878418,1722568400,0.0,0.0
6.212280929494347,6.229559585568102,6.023423449904572,6.041308403015137,1173502400,0.0,0.0
6.095571750860347,6.129523578635317,5.767269159869725,5.822137832641602,1245952400,0.0,0.0
5.831535679503755,5.941576185796544,5.799099590866408,5.903077125549316,749876400,0.0,0.0
5.93884877793163,5.951277466092045,5.862153799242644,5.937332630157471,698342400,0.0,0.0
5.916415210252405,6.068895707099165,5.893679471637952,6.039490699768066,615328000,0.0,0.0
5.963704512443687,6.013420064248271,5.807283910915411,5.821835041046143,757652000,0.0,0.0
5.839415684483401,5.941574295176281,5.785456063801032,5.925204277038574,850306800,0.0,0.0
5.932178416824349,5.998566330648131,5.880947121099252,5.884584903717041,478270800,0.0,0.0
5.954306777545044,5.987046007923441,5.9036821893916285,5.9473347663879395,632886800,0.0,0.0
5.938241458498029,5.959765413581114,5.8888298562338655,5.914899826049805,370361600,0.0,0.0
5.907623873763336,6.055253982554456,5.882766096922377,6.022514343261719,550345600,0.0,0.0
6.005538281296156,6.112547695188626,5.926418533855402,6.074351787567139,655468800,0.0,0.0
6.121642301483215,6.174692088043973,6.108910466035203,6.165901184082031,543737600,0.0,0.0
6.189848601111617,6.1934863837215275,6.088902157375201,6.140133857727051,436396800,0.0,0.0
6.112244379103247,6.1807551487589,6.090721639382687,6.151653289794922,422825200,0.0,0.0
6.1192169532218665,6.159837644426155,6.096480812130022,6.113456726074219,415469600,0.0,0.0
6.133767618773555,6.138617590754651,6.0382778508105925,6.075563907623291,390563600,0.0,0.0
6.062831797229729,6.103149742392362,5.932784315283829,5.973708152770996,575094800,0.0,0.0
6.00917561148365,6.1064842645019395,5.997352818986574,6.082839488983154,460566400,0.0,0.0
5.983409375193009,6.149530735898957,5.968555500740813,6.12346076965332,665126000,0.0,0.0
6.134979119236982,6.219555530084415,6.123459880561174,6.202882766723633,507460800,0.0,0.0
6.237137736961171,6.350816000078746,6.228043686375351,6.33535623550415,550093600,0.0,0.0
6.363852648837791,6.391135617219592,6.297464726531249,6.331113815307617,566546400,0.0,0.0
6.333841562319279,6.36203357090802,6.303527513661184,6.345663547515869,372052800,0.0,0.0
6.344147374855312,6.393862113532408,6.324442316179778,6.387495994567871,366041200,0.0,0.0
6.515725974292278,6.660021445837808,6.506328369265251,6.6372857093811035,899620400,0.0,0.0
6.669418774642544,6.671843558345623,6.616065843158041,6.641226768493652,429889600,0.0,0.0
6.6178837980224845,6.82068529583448,6.605151965247614,6.7606635093688965,920259200,0.0,0.0
6.785216314427265,6.835234591313661,6.766118368017906,6.81583309173584,596218000,0.0,0.0
6.787644014736001,6.835842609405518,6.769758250691188,6.835842609405518,405700400,0.0,0.0
6.8925309655200175,6.903444314328011,6.843422514835064,6.869189739227295,416323600,0.0,0.0
6.832206605828167,6.835843579386414,6.676694619036321,6.785522937774658,493502800,0.0,0.0
6.795829598827689,6.820080676293472,6.745204999050993,6.804014205932617,446908000,0.0,0.0
6.8176544622525315,6.86464127192141,6.768242868991965,6.794009685516357,450956800,0.0,0.0
6.793403137688394,6.820686508638014,6.748235620289421,6.810076713562012,342109600,0.0,0.0
6.814320925645522,6.827962206647155,6.706402057707165,6.737322807312012,559445600,0.0,0.0
6.683363155643411,6.851000652623616,6.67366240253704,6.813107490539551,456419600,0.0,0.0
6.840087303001682,6.935274335138782,6.793403232644164,6.922542095184326,602431200,0.0,0.0
6.90071584656282,6.978320257559843,6.896774510616804,6.953159332275391,597780400,0.0,0.0
7.000145766664834,7.001661914093249,6.8585782325160345,6.870704174041748,542284400,0.0,0.0
6.940428996263664,7.031371148514887,6.9283030521732725,6.999541759490967,640875200,0.0,0.0
7.063200719786589,7.089573431627876,7.021367025865232,7.044708251953125,540744400,0.0,0.0
7.172330520774813,7.1990075937375195,7.101091824235307,7.149594783782959,527310000,0.0,0.0
7.138681663381122,7.172633489454557,7.107457769355166,7.12382698059082,430659600,0.0,0.0
7.196885157157072,7.236899147694999,7.055621167621039,7.153232574462891,603145200,0.0,0.0
